Predicted String,Extracted Option
"Explanation: As the patient is 76 years old, we can expect some age-related changes in respiratory function. The most likely change present in this patient is decreased residual volume (B). As people age, the lungs lose elasticity and the residual volume decreases.

Answer: (B) Decreased residual volume",B
"Explanation: Based on the patient's symptoms and laboratory results, the most likely cause of her abdominal pain and distension is a gallstone obstruction of the cystic duct. The patient's elevated alkaline phosphatase and ALT levels, along with the inconclusive ultrasonography and positive cholescintigraphy results, support this diagnosis.

Option (B) Fistula between the gall",
"Explanation: We refer to Wikipedia articles on medicine for help. The reddened and swollen 2nd toe of the left foot, along with the lack of improvement in the baby's crying despite the parents' efforts to calm her down, suggest a possible case of Herpetic Whitlow. This is a common infection in young children that occurs when the herpes simplex virus affects the skin around the finger or toe.
Answer: (D) Her",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and examination findings are consistent with a diagnosis of vascular dementia, a type of dementia caused by small vessel disease in the brain. The CT scan of the head shows a hemorrhage, which supports this diagnosis. Tetrabenazine therapy is a treatment option for vascular dementia, as it can help improve cognitive function and",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, laboratory results, and physical examination findings are consistent with a severe infection, likely sepsis, which is the most likely underlying cause of her current condition.
Answer: (D) Systemic bacterial infection",D
"Based on the laboratory results and physical examination findings, the most likely diagnosis for the 75-year-old man is (C) Monoclonal gammopathy of undetermined significance (MGUS).

The patient's hemoglobin level is within the normal range, but the absolute lymphocyte count is low, which is consistent with MGUS. The flow cytometry result showing an absolute l",
"Explanation: We refer to Wikipedia articles on medicine for help. Invasive ductal carcinoma is a type of breast cancer that is commonly associated with overexpression of the HER2 gene.
Answer: (A) HER2",A
"Explanation: The symptoms of cyanosis, dyspnea, and a cardiac murmur in a pregnant woman at 19 weeks gestation are concerning for a congenital heart defect. The physiological changes of pregnancy can cause an increase in cardiac output to meet the increased oxygen demands of the fetus, but in this case, the murmur suggests that the heart defect is present from before pregnancy.",
"Explanation: To calculate the number needed to treat (NNT) for the new drug, we need to divide the number of participants who were cured in the study treatment group by the number of participants in the study.

NNT = (number cured in study treatment group) / (total number of participants in the study)

In this case, the number cured in the study treatment group is 190, and the total number of participants in the study",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of itchy, watery eyes and sneezing suggest allergic conjunctivitis. Erythromycin ointment is an antibiotic that can help treat bacterial conjunctivitis, but it is not effective against allergic conjunctivitis. Ketotifen eye drops are an antihistamine that can help treat",
"Explanation: The patient's symptoms and vital signs suggest an acute coronary event, such as a heart attack. The elevated troponin levels and the ST elevations on the electrocardiogram confirm this diagnosis. The patient's history of hypertension, hyperlipidemia, and diabetes mellitus also increase the risk of cardiac events.

The most appropriate medication to improve the hemodynamic status of this",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and vital signs suggest a possible pulmonary embolism, and the patient's history of smoking and recent travel increase the likelihood of this diagnosis. The most reasonable first step towards ruling out the diagnosis of pulmonary embolism in a low-risk patient is (C) D-dimer.

D-dimer is a blood test that",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms of numbness and burning in the feet and unsteady gait, along with the history of tuberculin skin test induration and chest x-ray normality, suggest a diagnosis of peripheral neuropathy. The most likely cause of this patient's current symptoms is (C) Segmental demyelination of peripheral axons, which",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and the repeat chest radiograph findings suggest a tension pneumothorax. Tension pneumothorax is a medical emergency that occurs when air enters the pleural space and compresses the lung, leading to decreased lung volume and increased intrathoracic pressure.
Answer: (C) Tension pneumothorax",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of a painful, burning red rash on her face and hands after exposure to direct sunlight, along with her light skin and history of occasional sunburns, suggest that the most likely cause is drug-induced photosensitivity.
Answer: (A) Degranulation of presensitized mast cells",A
"The answer is (D) Provides the most specific recognition to circulating antigens in the bloodstream.

Immunoglobulin A (IgA) is the only immunoglobulin that is found as a dimer. It is produced in the mucosal surfaces of the body, such as the respiratory, gastrointestinal, and genitourinary tracts, and plays a crucial role in protecting against in",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's improved vision can be attributed to the increased lens elasticity, which is the most likely explanation.
Answer: (D)",D
"Explanation: The symptoms of regurgitation and decreased appetite in an 8-week-old baby suggest a possible gastroesophageal reflux (GERD). The fact that the mother has already tried limiting the volume of each feed and that the patient's weight and height have decreased in the past few weeks further supports this diagnosis.

The best next step in management would be to (D) Recommend modification of the",
"Explanation: The primary measure used in this study is (C) The observed number of deaths divided by the expected number of deaths.

The study calculated standardized mortality ratios (SMRs) by dividing the observed number of deaths by the expected number of deaths based on the age-specific mortality rates of the general population. This allows for a comparison of the mortality rates of the psychiatric patients to the general population, taking into",
"Based on the symptoms and examination findings described, the most appropriate next step in management would be:

(C) D-dimer level.

The patient's swelling of the right leg without pain or erythema suggests a possibility of deep vein thrombosis (DVT). D-dimer is a blood test that can help diagnose DVT by measuring the level of a breakdown product of clotting factors that",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of dry cough, fever, and chills, along with the diffuse haziness in the chest X-ray, suggest a diagnosis of occupational asthma. Beclomethasone is a corticosteroid that is commonly used to treat occupational asthma caused by bird droppings.
Answer: (B) Inhaled be",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and laboratory findings are consistent with a diagnosis of Paget's disease of bone. The bone biopsy image shows features of Paget's disease, including pagetoid bone marrow and bone remodeling.
Answer: (D) Osteitis fibrosa cystica",D
"Explanation: Based on the symptoms and physical examination findings, the most likely diagnosis for this patient is Charcot arthropathy, a condition associated with diabetes mellitus. The tender nodule and skin-colored nodule that moves with the Achilles tendon are consistent with this diagnosis. The biopsy result also supports this diagnosis.

Serum studies in this patient are likely to show increased levels of Rheum",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of severe shortness of breath and dyspnea with diminished chest wall movements, along with the A-a gradient of 10 mm Hg, suggest that the most likely diagnosis is alveolar hypoventilation. This is a condition where the lungs are not getting enough oxygen due to inadequate ventilation.

Option (A) Al",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's laboratory results suggest a possible diagnosis of diabetic ketoacidosis (DKA), which is a complication of diabetes. DKA occurs when the body cannot produce or cannot properly use insulin, leading to high blood sugar levels and the production of ketones. The patient's high blood sugar levels, low potassium levels, and high BUN and",
"Explanation: We refer to Wikipedia articles on medicine for help. Magnesium sulfate can cause peripheral neuropathy, which can cause absent deep tendon reflexes. The most appropriate next step would be to stop the magnesium sulfate.
Answer: (A) Stop magnesium sulfate and give calcium gluconate",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's irregular menstrual bleeding and difficulty getting pregnant suggest polycystic ovary syndrome (PCOS). Clomiphene therapy is the most appropriate step in management, as it is the first-line treatment for infertility in PCOS.
Answer: (C) Clomiphene therapy",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient is in the early stages of pregnancy, and the most appropriate procedure for elective termination of pregnancy is oral mifepristone + misoprostol. This is a safe and effective method for terminating early pregnancies up to 10 weeks gestation.
Answer: (D) Oral mifepristone + misoprostol",D
"Explanation: Based on the patient's symptoms and medical history, the most likely diagnosis is an autoimmune disorder, specifically rheumatoid arthritis (RA). The patient's tender joints and delayed relaxation of deep tendon reflexes are classic signs of RA. The patient's family history, with her mother having poorly controlled rheumatoid arthritis, also increases the likelihood of RA.",
"Explanation: We refer to Wikipedia articles on medicine for help. The murmur and the carotid pulse findings are consistent with hypertrophic cardiomyopathy.
Answer: (C) Hypertrophic cardiomyopathy",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and examination findings are consistent with Parkinson's disease, specifically the tremor, rigidity, and bradykinesia (slow movement). The history of falls and the family history of normal pressure hydrocephalus and Alzheimer's dementia also support this diagnosis.

On brain autopsy, the histologic finding most strongly associated with",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including progressive weakness in the right lower extremity, holosystolic murmur, and retinal calcifications, are consistent with neurofibromatosis type 1 (NF1). The skin findings, including freckling and pigmentation, are also consistent with NF1.

Answer: (A) NF1 gene on chrom",A
"Explanation: Based on the patient's symptoms and laboratory results, the most likely underlying cause of her vital sign abnormalities is decreased cardiac output. The patient's tachycardia, tachypnea, and decreased blood pressure are all signs of decreased cardiac output, which can be caused by a variety of factors such as sepsis, shock, or cardiogenic pulmonary edema.

The other options are",
"Explanation: Based on the patient's symptoms and examination findings, the most likely underlying mechanism of the disease is (C) Bacterial lymphatic infection of the epidermis. The long erythematous rash covered with multiple clear vesicles and crusty lesions extending from the back to below the right breast is consistent with a bacterial infection of the skin, such as cellulitis. The fact that the patient volunte",
"Explanation: Based on the patient's symptoms, physical examination findings, and laboratory results, the best explanation for the patient's current presentation is option (C) Renal tubular acidosis type II.

The patient's bipedal edema and jugular venous distension (JVD) are classic signs of heart failure, which can be caused by renal tubular acidosis (RTA). The patient's elev",
"Explanation: Lyme disease is a possibility based on the patient's symptoms and the tick bite. The next best step would be to test for Lyme disease.

Answer: (A) Ibuprofen",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of smoking and sedentary lifestyle, along with the enlarged left supraclavicular node, suggest a high likelihood of metastasis. Chest X-ray is the most appropriate test to assess for metastasis in this case.
Answer: (A) Chest radiograph",A
"Explanation: We refer to Wikipedia articles on medicine for help. The unilateral atrophy of neurons in the spinal cord indicates a lesion in the dorsal column-medial lemniscus pathway, which is responsible for transmitting sensory information from the body to the brain. The most likely neurological finding in this case is decreased vibratory sense in the ipsilateral arm, as the dorsal column-",
"Explanation: The change in the cut-off value from 6.5% to 7.0% will result in an increase in true positive test results and a decrease in false negative test results.

Answer: (D) Increase in true positive test results",D
"Explanation: Based on the patient's symptoms, the most likely diagnosis is a migraine or a hemicrania continua, which can cause severe headache, vision loss, and ear symptoms. Lumbar puncture is not necessary for this diagnosis, as it is not a neurological emergency. Ibuprofen may help manage the headache, but it is not the best next step in management. MRI is not necessary for",
"The best next step in the management of this patient would be:

(C) Increase PEEP.

The patient is experiencing bilateral rales on lung examination, which indicates pulmonary edema. The arterial blood gas analysis shows a pH of 7.44, which is slightly alkalotic, and a partial pressure of carbon dioxide (PaCO2) of 31 mmHg, which is",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of anxiety and avoidance of social situations suggest a diagnosis of social anxiety disorder. Fluoxetine is a selective serotonin reuptake inhibitor (SSRI) that is commonly used to treat social anxiety disorder.
Answer: (C) Fluoxetine",C
"Explanation: Based on the symptoms and findings described, the most appropriate next step in management is (B) Tympanostomy tube insertion. The retracted and immobile tympanic membranes, along with the conductive hearing loss, suggest that the boy has chronic suppurative otitis media (CSOM). Tympanostomy tube insertion can help to improve the middle ear pressure and reduce the risk of further hearing",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and laboratory results suggest inflammatory bowel disease (IBD). The CT scan and colonoscopy findings are also consistent with IBD. The most specific finding for this patient's condition is the presence of noncaseating granulomas, which is a characteristic feature of Crohn's disease, a type of IBD.

Answer: (C) Formation",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and laboratory findings suggest chronic kidney disease (CKD). Urinary analysis would likely show proteinuria, which is the presence of protein in the urine.
Answer: (A) Muddy brown granular casts",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's biopsy result showing a characteristic change in chromosome 18 suggests a diagnosis of Chronic Fatigue Syndrome (CFS). CFS is characterized by abnormalities in the regulation of proteins involved in cellular signaling pathways, including the Ras pathway transcription factors.
Answer: (D) Ras pathway transcription factors",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of fatigue, constipation, and weight gain suggest hypothyroidism. The laboratory value most likely to be elevated in this patient is thyroid-stimulating hormone (TSH).
Answer: (D) Thyroid-stimulating hormone (TSH)",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, physical examination findings, and diagnostic tests suggest that the most likely diagnosis is Takotsubo cardiomyopathy. This condition is a type of cardiomyopathy that is caused by extreme emotional stress and can present with chest pain, left ventricular dysfunction, and cardiac arrhythmias.
Answer: (C",C
"Explanation: We refer to Wikipedia articles on medicine for help. A decreased iodine uptake in a thyroid nodule is a common finding in papillary carcinoma. Papillary carcinoma is the most common type of thyroid cancer and typically grows slowly and has a good prognosis.
Answer: (A) Papillary carcinoma",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient has developed neutropenia and anemia after allogeneic bone marrow transplantation, which can be treated with granulocyte-macrophage colony-stimulating factor (GM-CSF). GM-CSF stimulates the production of granulocytes and macrophages, which can help to increase the white blood cell count and fight infections.",
Explanation: Cricopharyngeal muscle dysfunction is a common cause of dysphagia and halitosis in patients with Zenker's diverticulum. Zenker's diverticulum is a type of diverticulum that forms in the cricopharyngeal muscle and can cause dysphagia and halitosis due to the obstruction of the esophageal lumen.,
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms of chronic diarrhea, failure to gain weight, and recurrent infections are consistent with X-linked agammaglobulinemia (XLA), which is caused by a defect in the Bruton's tyrosine kinase (BTK) gene. The absence of a thymic shadow and lymph node biopsy findings of absent germ",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and physical examination findings suggest that he is experiencing an exacerbation of chronic obstructive pulmonary disease (COPD). The bilateral crackles and wheezes heard on physical examination are consistent with this diagnosis.

On cardiac auscultation, the most likely finding will be a loud P2, as this is a common finding",
"Based on the symptoms and laboratory results provided, the most appropriate initial step in treatment for the 16-year-old boy is:

(C) Iron supplementation.

The patient's anemia and low hemoglobin level suggest a possible iron deficiency, which is a common cause of fatigue and decreased energy levels. Iron supplementation can help to replenish iron stores and improve the patient's anemia.",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's difficulty in taking care of herself, her withdrawal, and hesitation to make eye contact suggest dementia. The most appropriate next step is to complete a mini-mental exam to assess the patient's cognitive function.
Answer: (B) Complete a mini-mental exam",B
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and physical examination findings are consistent with Sjögren's syndrome, an autoimmune disorder that affects the exocrine glands, including the salivary glands. The presence of mucosal ulceration and atrophy in the oral cavity, along with the biopsy results, support this diagnosis.

Anti-",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of progressive hearing loss, tinnitus, and unsteadiness suggest a problem with the inner ear, specifically the cochlea. The fact that air conduction is greater than bone conduction on the vibrating tuning fork test also supports this conclusion.
Answer: (D) Cochlea",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and laboratory results suggest that he is experiencing a cardiac arrhythmia, likely caused by atrial fibrillation. The medication discharged to the patient, an anticoagulation drug, will exert its effects by inhibiting the production of vitamin K-dependent clotting factors, which are responsible for the formation of blood clots.
Answer",
"Explanation: Based on the patient's symptoms and examination findings, the most likely diagnosis is appendicitis. The right lower quadrant pain that is reproducible when the left lower quadrant is palpated, along with the patient's recent onset of abdominal pain and vomiting, are all consistent with appendicitis. The patient's temperature and tachycardia also support this diagnosis.

The next best step in management",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, including the recent onset of inappropriate behavior, memory loss, and difficulty caring for himself, suggest frontotemporal dementia. This is a type of dementia that affects the frontal and temporal lobes of the brain, leading to changes in personality, behavior, and language.

Answer: (B) Frontotemporal dementia",B
"Explanation: Based on the symptoms and findings described, the most likely cause of the patient's altered mental status is ethanol intoxication. The patient's somnolence, responsiveness, and abnormal neurological examination are all consistent with ethanol intoxication. The patient's blood alcohol concentration of 0.04% is also consistent with this diagnosis. The other options are less likely causes of the",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's history of recurrent episodes of fatigue and dark urine, along with his recent change in diet, suggest that the most likely cause is a case of hemolytic uremic syndrome (HUS), which is a rare but potentially life-threatening complication of gastrointestinal infections.

HUS is caused by the destruction of red blood cells",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms, physical examination findings, and spirometry results are consistent with COPD.
Answer: (C) Chronic obstructive pulmonary disease",C
"Explanation: We refer to the information provided in the question and the options available. Based on the patient's symptoms and laboratory results, the most likely diagnosis is primary polydipsia.

The patient's complaints of increased fatigue and back pain, along with the mild tenderness in the lumbar region and pale skin, suggest that the patient may have an underlying endocrine disorder. The laboratory results support this diagnosis, as",
"Explanation: We refer to Wikipedia articles on medicine for help. Turner Syndrome is a genetic disorder that affects females and is characterized by the absence or partial deletion of one of the two X chromosomes. The fusion of the kidney poles is a common feature of Turner Syndrome. The structure that prevents normal ascension of the kidneys during embryological development is the superior mesenteric artery.
Answer: (A",A
"Explanation: Based on the patient's symptoms and laboratory results, the most likely diagnosis is pneumonia. The patient has a dry cough, shortness of breath, and low-grade fever, which are all common symptoms of pneumonia. The crackles heard over the bibasilar lung fields on examination also support this diagnosis. The patient's leukocyte count and neutrophil count are elevated, which is also consistent",
"Explanation: We refer to Wikipedia articles on psychology for help. The patient's response suggests that he is using the defense mechanism of Rationalization. He is making excuses for his overeating by blaming it on his family history and saying he ""enjoys himself"" rather than taking responsibility for his diet.

Answer: (A) Rationalization",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's frontal bossing, shortened upper and lower extremities, and growth hormone deficiency suggest a disruption in endochondral ossification, which is the process of bone growth and development.
Answer: (C) Endochondral ossification",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and physical examination findings are consistent with a shoulder dislocation. The most likely area of reduced sensation is the medial aspect of the upper arm, as this is the area that is most commonly affected in a shoulder dislocation.
Answer: (A) Medial aspect of the upper arm",A
"Explanation: Based on the patient's symptoms and laboratory results, the most likely cause of the abnormal dipstick test results is gestational diabetes. The patient's fasting glucose level of 97 mg/L is elevated, and her ALT and AST levels are also elevated, which can be indicative of diabetes-related liver dysfunction. An HbA1c measurement would be the most",
"Based on the patient's symptoms and physical examination findings, the most likely diagnosis is a myocardial infarction (heart attack). The patient's chest pain, particularly the sudden onset and radiating nature of the pain, along with his age and medical history of a heart murmur, are all consistent with a myocardial infarction. The patient's hypertension and joint hypermobility are also concerning signs of my",
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and physical examination findings are consistent with a diagnosis of small bowel obstruction, which can be caused by several factors, including torsion of the large intestine.
Answer: (D) Torsion of the large intestine",D
"Explanation: We refer to Wikipedia articles on medicine for help. Hodgkin's lymphoma is a type of cancer that can cause blood in the urine, and the patient's symptoms and biopsy results suggest this diagnosis. Bleomycin is a chemotherapy drug that can cause blood in the urine as a side effect.
Answer: (A) Bleomycin",A
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms of nausea, vomiting, weakness, back pain, and EKG changes are consistent with hypokalemia, which is associated with the patient's diagnosis of diabetes and the use of thiazide medication.

Answer: (D) Wilson disease",D
"Based on the information provided, the most likely explanation for the daughter's behavior is (C) Avoidant personality disorder.

Avoidant personality disorder is a mental health condition characterized by a pervasive and persistent pattern of social inhibition, anxiety, and avoidance of social interactions. People with this disorder tend to be shy, withdrawn, and fearful of social rejection, criticism, or embarrassment. They",
"Explanation: We refer to Wikipedia articles on medicine for help. The symptoms of greasy diarrhea, excessive belching, and flatulence, along with the dry, scaly skin on her extremities and face, suggest that the patient is experiencing a side effect of the drug's effect on the nervous system. The most likely mechanism of action of the drug is (B) Inhibition of serotonin reuptake.
Answer",
"Explanation: We refer to Wikipedia articles on medicine for help. Of the medications listed, only metformin can cause transaminitis (elevated liver function tests). Metformin is a common cause of transaminitis, particularly when taken in high doses or for extended periods.
Answer: (A) Metformin",A
"Explanation: We refer to Wikipedia articles on medicine for help. The experimental therapy aims to reduce the activity of mediators that cause asthmatic attacks by favoring the class switching of antibodies. IL-4 is one of the mediators involved in this process, so the answer is (D) IL-4.
Answer: (D) IL-4",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and laboratory results suggest hepatitis A infection. The upregulation of MHC class I molecules on infected cells is a common feature of hepatitis A infection, and is primarily induced by the virus's own RNA.
Answer: (D) Increased breakdown of intracellular RNA",D
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's symptoms and physical examination findings are consistent with a deep soft tissue infection, which can be caused by a variety of bacteria. The presence of free air in the soft tissue on CT scan suggests that the infection has spread to the soft tissue and may have caused a compartment syndrome. The most likely organism responsible for this condition is Staphylococcus",
"The correct answer is (C) Ascertainment bias.

The editor suggested that the study should be submitted as a case series instead of a cohort study because the authors did not account for ascertainment bias in their study design. Ascertainment bias occurs when the likelihood of inclusion in the study is not equal for all groups being studied, which can lead to biased estimates of the outcome. In this case, the authors studied patients who presented to their clinic with fem",
"Explanation: We refer to Wikipedia articles on medicine for help. Prostaglandin E2 (PGE2) is released locally to increase coronary blood flow during exertion. It is produced by the endothelium in response to shear stress and acts on the coronary arteries to increase blood flow.
Answer: (C) Prostaglandin E2",C
"Explanation: We refer to Wikipedia articles on medicine for help. The patient's severe sunburns and corneal irritation suggest a genetic disorder that affects DNA repair, specifically the mismatch repair process.
Answer: (D) Mismatch repair",D
